customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
3430-TINH,Female,0,Yes,Yes,66,No,No phone service,No,No internet service,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),77.64,926.32,Yes
8435-XJRR,Male,0,Yes,Yes,53,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,Yes,Two year,No,Credit card (automatic),39.94,885.09,No
7032-SEYR,Male,1,Yes,Yes,12,Yes,Yes,No,No internet service,Yes,No,Yes,No internet service,No internet service,Two year,No,Mailed check,23.05,1359.44,No
2500-UIIA,Female,1,Yes,No,25,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,No,No,Month-to-month,Yes,Mailed check,22.65,5729.89,No
4523-MWLB,Female,1,No,Yes,51,No,No,Fiber optic,No,No,No,Yes,Yes,No internet service,Two year,No,Credit card (automatic),117.08,4789.91,No
3057-BPUO,Male,1,No,No,12,No,No phone service,DSL,No internet service,No,No internet service,No internet service,No internet service,No,Two year,Yes,Electronic check,66.31,8373.56,Yes
5932-HZBL,Male,0,No,No,3,Yes,Yes,DSL,No internet service,No internet service,No,Yes,No internet service,No,Two year,Yes,Credit card (automatic),58.61,6070.29,No
9581-LAUQ,Male,1,Yes,Yes,53,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No internet service,One year,No,Bank transfer (automatic),91.5,4950.56,Yes
3492-TRLF,Female,0,Yes,Yes,61,Yes,No phone service,No,Yes,Yes,No internet service,No,Yes,No,Two year,Yes,Mailed check,81.11,832.05,No
7224-MVOR,Female,1,No,No,67,Yes,No phone service,Fiber optic,Yes,Yes,No,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),23.71,1186.84,No
2965-VBRN,Male,1,Yes,No,38,No,No,DSL,No internet service,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),53.42,492.19,No
2275-OOOZ,Male,0,No,Yes,0,No,No phone service,Fiber optic,No internet service,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),56.99,3215.97,No
0539-UBPM,Female,0,No,Yes,72,Yes,No phone service,DSL,No,No internet service,No,No,Yes,No,Month-to-month,Yes,Electronic check,20.4,7137.1,Yes
5082-PSYG,Female,0,Yes,No,28,No,No,No,No,Yes,No internet service,Yes,No internet service,No internet service,One year,No,Electronic check,100.21,1917.64,Yes
7494-ERUG,Female,0,No,No,31,Yes,No,No,No internet service,No internet service,No,No,No,No,One year,No,Mailed check,62.82,6836.98,Yes
3509-ZXPR,Female,0,Yes,No,41,Yes,Yes,DSL,No internet service,Yes,No,Yes,No,No,Two year,No,Electronic check,46.0,5646.13,No
6653-INDO,Female,0,Yes,No,53,No,No,Fiber optic,No,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,61.14,7172.7,No
2639-OSOX,Female,1,Yes,No,31,No,No phone service,No,No,No,Yes,No internet service,Yes,Yes,One year,Yes,Bank transfer (automatic),104.06,2213.48,Yes
0161-DOJI,Female,1,No,Yes,71,Yes,No phone service,No,No,No internet service,No internet service,Yes,No,Yes,Two year,Yes,Credit card (automatic),88.14,304.17,No
9007-GYOV,Male,1,No,Yes,29,No,No phone service,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.14,8649.7,Yes
9150-TZSS,Male,1,No,No,65,No,No phone service,No,Yes,No,No,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),58.65,4808.05,No
5721-ESNZ,Female,0,No,Yes,24,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),62.84,3175.03,No
0034-YRUI,Female,1,No,No,29,No,Yes,DSL,No internet service,No internet service,No,No,No,Yes,Two year,Yes,Mailed check,92.5,1444.82,Yes
0771-LFRO,Female,0,No,No,53,No,No,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),44.14,3809.83,No
5821-WOCV,Male,1,No,Yes,33,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),19.83,3862.98,Yes
0639-ZUBR,Male,1,Yes,No,29,Yes,No,DSL,No,No,Yes,No internet service,No,No internet service,One year,Yes,Mailed check,91.74,8085.03,Yes
7503-YCPM,Male,0,Yes,Yes,5,No,No phone service,No,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,26.1,6031.4,No
2699-WDSW,Female,0,Yes,No,66,Yes,No,DSL,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),33.33,4296.35,Yes
7822-LHHZ,Male,1,No,Yes,47,No,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,118.32,4960.08,Yes
0335-LCEZ,Female,1,Yes,Yes,55,No,No,Fiber optic,No,No internet service,No,Yes,No,Yes,One year,Yes,Mailed check,118.25,626.33,Yes
6931-CFPY,Female,1,No,No,17,No,No phone service,No,Yes,No,Yes,Yes,No internet service,No internet service,One year,No,Bank transfer (automatic),38.94,2500.54,No
6936-WPAB,Female,1,No,No,30,No,Yes,No,No,No,No,Yes,No,No,One year,Yes,Mailed check,106.56,701.59,No
8326-QIQM,Male,1,No,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Electronic check,106.26,3565.97,Yes
2419-HDBD,Male,0,Yes,Yes,64,No,Yes,DSL,No internet service,No internet service,Yes,No,Yes,No,Two year,Yes,Electronic check,47.82,6121.47,Yes
2939-HGCJ,Male,1,No,No,51,Yes,No phone service,No,Yes,No internet service,No,No internet service,No,No,Month-to-month,Yes,Mailed check,37.0,2781.62,Yes
5029-GAAY,Male,0,No,Yes,8,No,No phone service,No,Yes,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),78.74,1983.47,No
3957-JPOP,Female,1,No,Yes,11,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,Yes,Yes,One year,No,Mailed check,43.66,3015.87,No
7323-BHVC,Female,1,No,No,50,No,No,No,No,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,88.71,7899.26,Yes
1027-MCAD,Female,1,No,No,30,No,Yes,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No,Two year,Yes,Electronic check,55.84,5627.62,Yes
1083-OEIU,Female,0,Yes,Yes,14,Yes,Yes,No,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,28.05,5033.1,No
2933-HGFY,Male,1,Yes,Yes,21,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No,No,Month-to-month,No,Credit card (automatic),108.12,7029.22,Yes
6886-WKHL,Male,0,No,Yes,66,No,Yes,DSL,No,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),59.98,1240.46,No
3738-AHDV,Male,1,No,Yes,49,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.43,7319.05,No
1393-RUIS,Male,0,No,No,52,No,No,DSL,No internet service,No internet service,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),35.08,3814.16,No
4371-XHDJ,Male,0,Yes,No,49,Yes,No,No,No,No,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),85.63,1406.01,Yes
6296-KVAS,Male,0,No,Yes,60,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,One year,Yes,Bank transfer (automatic),104.58,5320.38,No
2543-SQGK,Male,1,No,No,42,No,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,One year,No,Mailed check,98.31,5136.06,Yes
2730-QXOG,Male,0,Yes,No,70,No,Yes,DSL,No,No internet service,No,No,Yes,Yes,Two year,Yes,Electronic check,60.17,3083.34,Yes
1692-ZPWJ,Male,0,Yes,Yes,51,No,No,No,Yes,Yes,No internet service,Yes,No internet service,No internet service,Two year,Yes,Credit card (automatic),85.53,6468.26,No
4227-CXZY,Male,1,No,Yes,65,No,Yes,No,Yes,No internet service,Yes,No,Yes,No internet service,One year,No,Bank transfer (automatic),99.42,3148.39,No
9897-RKNG,Male,1,Yes,Yes,32,Yes,No,DSL,No internet service,No,No internet service,No,No,No,One year,No,Bank transfer (automatic),38.92,7561.41,No
6655-FONN,Female,1,Yes,Yes,60,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),106.03,241.45,No
7104-RINC,Male,1,No,No,21,No,Yes,DSL,No internet service,No internet service,No internet service,No,Yes,Yes,One year,No,Electronic check,51.02,7341.77,No
9483-URBV,Female,0,Yes,No,25,No,No,No,No internet service,Yes,Yes,No internet service,Yes,No internet service,Two year,No,Bank transfer (automatic),105.13,367.03,Yes
4760-NSGQ,Female,0,Yes,No,13,No,No,No,Yes,Yes,No,No internet service,Yes,No,One year,Yes,Credit card (automatic),82.9,2685.91,No
6484-FQSB,Female,0,Yes,No,5,No,No,No,No internet service,No,No internet service,No internet service,Yes,Yes,One year,No,Electronic check,111.08,2215.78,Yes
4205-SJRL,Female,1,No,No,4,No,No phone service,DSL,No,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),117.08,3270.59,No
3953-KDSO,Female,1,Yes,No,53,Yes,Yes,DSL,No internet service,No,No internet service,Yes,No,Yes,Two year,Yes,Credit card (automatic),92.49,7713.24,Yes
5949-FGIM,Female,1,No,No,9,No,No phone service,DSL,No,No,No internet service,No,No internet service,No internet service,Two year,Yes,Electronic check,117.33,5003.98,Yes
5555-TRKH,Female,1,No,Yes,46,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),66.73,4526.17,Yes
7132-GEXR,Female,0,Yes,No,25,No,No,No,No internet service,No internet service,Yes,No internet service,Yes,Yes,Two year,No,Mailed check,87.22,7649.49,Yes
5925-JYNT,Male,0,Yes,Yes,9,No,No phone service,No,No internet service,Yes,No,No internet service,No,Yes,One year,No,Mailed check,25.28,509.68,No
1222-HDQI,Female,1,No,No,31,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,No,Yes,One year,No,Mailed check,23.09,4223.55,No
3347-OUIU,Male,1,Yes,No,51,Yes,No,DSL,No internet service,Yes,No internet service,No,No,No internet service,One year,No,Bank transfer (automatic),88.9,8649.91,No
7570-QZWL,Female,0,No,Yes,40,No,No,No,Yes,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),91.11,5455.97,No
2760-WLGB,Female,0,No,Yes,53,No,No,No,No,No,Yes,No internet service,No,No,Two year,Yes,Credit card (automatic),80.63,8228.67,Yes
4448-QNPS,Female,1,No,Yes,1,No,No,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),105.32,8290.4,Yes
6547-GUIX,Male,0,No,Yes,14,Yes,No phone service,No,No internet service,No,No,No,Yes,No internet service,Two year,Yes,Credit card (automatic),74.12,4218.65,No
4337-NMBM,Female,0,Yes,No,21,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No,One year,No,Bank transfer (automatic),57.29,5011.25,Yes
4562-UAFJ,Female,1,Yes,Yes,12,Yes,No,Fiber optic,Yes,No internet service,No internet service,Yes,No,No internet service,One year,Yes,Electronic check,101.69,4302.97,No
6649-HTLP,Male,0,No,No,52,No,No,Fiber optic,No,No,Yes,No,No,No internet service,One year,Yes,Electronic check,30.6,3994.18,Yes
0810-XDJO,Female,1,No,No,21,No,No,DSL,No,No internet service,No,Yes,No,Yes,Two year,No,Electronic check,98.14,1268.1,No
4759-PKMK,Female,0,No,Yes,62,Yes,No,Fiber optic,No,Yes,No internet service,Yes,No internet service,Yes,Two year,Yes,Credit card (automatic),36.49,2870.43,Yes
3877-BLRX,Male,0,Yes,Yes,61,No,No phone service,No,No internet service,No,Yes,No internet service,No,No,One year,No,Mailed check,18.77,3247.92,Yes
5888-RPQI,Male,1,Yes,Yes,70,No,No,Fiber optic,No internet service,Yes,No internet service,Yes,No,No internet service,Month-to-month,No,Electronic check,30.56,4756.73,No
3936-RNPZ,Male,0,Yes,Yes,36,Yes,Yes,No,Yes,No internet service,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),61.08,7328.4,Yes
8649-UJYQ,Male,1,Yes,Yes,46,Yes,No,DSL,Yes,No internet service,No,No internet service,No internet service,No,Two year,No,Credit card (automatic),26.76,1603.14,Yes
6650-MBRV,Female,0,No,No,68,No,Yes,No,No internet service,Yes,No,No,No,No internet service,One year,Yes,Electronic check,113.71,3466.31,Yes
2719-DOGR,Male,0,No,Yes,52,No,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,No,Mailed check,23.92,7767.96,Yes
8770-NTJY,Female,0,No,Yes,19,Yes,No phone service,Fiber optic,No,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),18.78,7978.39,No
1473-LSVV,Female,1,Yes,Yes,30,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No internet service,Two year,Yes,Electronic check,91.13,2430.87,Yes
2958-EYFQ,Female,0,Yes,Yes,57,No,Yes,DSL,Yes,No internet service,No internet service,Yes,Yes,No internet service,Two year,Yes,Bank transfer (automatic),75.83,7828.71,No
7605-EWDV,Male,0,Yes,No,27,No,No phone service,DSL,No,No internet service,No internet service,No,Yes,No,One year,Yes,Electronic check,34.63,4653.76,Yes
8841-SGJY,Male,1,Yes,Yes,14,No,No phone service,DSL,No internet service,No internet service,No,No internet service,No,No,Month-to-month,No,Mailed check,84.59,1206.01,No
1354-ORJK,Female,1,Yes,No,52,No,Yes,No,Yes,No,Yes,No,No internet service,No internet service,Two year,No,Credit card (automatic),55.18,7547.47,No
8625-YMIT,Female,0,No,Yes,11,No,Yes,No,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,98.27,2010.28,Yes
8197-ZIHX,Male,0,No,No,20,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,Yes,No internet service,Two year,No,Mailed check,36.5,3776.79,Yes
3488-AYFK,Male,1,No,Yes,25,No,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,No,No internet service,Two year,Yes,Mailed check,107.23,1817.68,No
9250-JGMO,Female,1,Yes,No,17,No,No phone service,Fiber optic,No,No,Yes,Yes,No internet service,Yes,One year,No,Credit card (automatic),24.81,5582.72,Yes
3939-TRXF,Female,1,No,Yes,21,No,Yes,No,Yes,No,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),115.96,4989.22,Yes
1896-TCRU,Female,0,Yes,No,31,No,No,No,Yes,No internet service,No,No internet service,No internet service,No,Two year,Yes,Credit card (automatic),118.69,4869.63,No
3931-ETXG,Female,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Electronic check,31.5,2987.9,No
8866-GAOO,Female,1,Yes,Yes,25,Yes,No phone service,No,No,No internet service,No,Yes,No,No,One year,No,Mailed check,54.2,6666.09,No
1601-MCYA,Male,0,Yes,No,5,Yes,No phone service,DSL,No,Yes,No,No internet service,Yes,No internet service,One year,No,Credit card (automatic),18.61,1418.5,No
9152-HVMO,Female,1,No,Yes,69,Yes,Yes,DSL,No,No internet service,Yes,No,No internet service,No,One year,No,Electronic check,79.54,6644.15,Yes
0172-KECS,Female,1,Yes,No,30,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,Yes,Yes,One year,No,Electronic check,22.75,6826.29,No
8143-FXKB,Female,1,Yes,Yes,67,No,No,DSL,No internet service,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),67.28,6890.35,Yes
2131-IYLF,Female,1,No,No,58,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),101.57,4612.07,No
2774-KIEJ,Female,0,Yes,No,68,No,No,Fiber optic,No,No internet service,No,Yes,No internet service,Yes,One year,No,Bank transfer (automatic),22.87,4094.39,No
7897-QILL,Female,1,Yes,No,72,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),31.63,259.99,Yes
1712-RCLJ,Male,0,No,Yes,37,Yes,No phone service,No,No,No,No internet service,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),19.7,4527.45,No
8217-RAUP,Female,1,No,No,11,Yes,No phone service,DSL,No internet service,Yes,No,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),112.55,216.45,Yes
6318-PRGX,Male,1,No,Yes,63,No,No phone service,DSL,No internet service,Yes,Yes,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),73.87,2833.43,Yes
5108-UKTQ,Male,0,Yes,Yes,29,No,No phone service,No,No,No,Yes,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),82.7,4599.5,Yes
2035-SHHA,Male,1,No,No,18,No,Yes,Fiber optic,Yes,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),46.06,3053.99,No
4624-KXUY,Male,0,No,No,5,No,No,DSL,No internet service,No,No,Yes,Yes,No internet service,One year,No,Mailed check,65.07,2464.3,Yes
8375-MUKY,Male,0,No,No,34,No,No phone service,DSL,Yes,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,28.44,6333.27,Yes
0597-VRMP,Male,1,No,Yes,31,No,No phone service,Fiber optic,No internet service,No,Yes,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),44.51,2107.11,No
6453-KMQO,Male,1,No,No,25,No,No,Fiber optic,No internet service,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,52.55,694.32,Yes
6208-TVLE,Female,0,Yes,No,69,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,No,No internet service,One year,No,Bank transfer (automatic),51.36,3756.95,Yes
5172-VIBX,Male,0,Yes,No,13,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,No,Yes,One year,Yes,Credit card (automatic),28.89,6950.01,No
4616-CUFM,Female,1,No,Yes,27,No,No,DSL,Yes,No,No internet service,No,No,Yes,One year,Yes,Credit card (automatic),71.05,4319.72,No
5110-TUTQ,Female,1,No,No,2,No,No,Fiber optic,No,Yes,No internet service,Yes,No,No,Two year,No,Credit card (automatic),111.03,3713.73,No
4714-TFBC,Female,1,Yes,Yes,28,No,No phone service,DSL,No internet service,No internet service,No internet service,Yes,Yes,No internet service,Two year,Yes,Credit card (automatic),37.08,6307.35,No
4082-ZWRR,Female,1,Yes,No,21,No,No,No,No internet service,No,No,Yes,Yes,No internet service,Two year,No,Electronic check,85.42,2143.67,Yes
2288-ZJGX,Female,0,Yes,No,7,Yes,No phone service,DSL,No,No,No,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),36.18,4589.64,Yes
0937-DXNQ,Male,1,No,No,4,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),20.86,4348.44,No
7481-WKGF,Male,1,Yes,No,69,No,Yes,No,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),38.42,1324.93,No
1364-ZPQC,Male,1,Yes,No,15,No,Yes,No,Yes,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),54.31,2044.95,Yes
8821-AATR,Female,0,Yes,Yes,71,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Electronic check,72.81,2716.04,Yes
6746-SENX,Male,0,No,No,33,No,No,Fiber optic,No,Yes,No,Yes,Yes,No internet service,One year,Yes,Bank transfer (automatic),102.58,6864.6,Yes
1604-XMKK,Female,1,No,No,72,Yes,No phone service,DSL,No,No,Yes,No internet service,No internet service,Yes,One year,No,Mailed check,57.99,7521.31,Yes
5359-JONG,Male,1,No,Yes,2,No,No phone service,DSL,No,Yes,No internet service,No internet service,No internet service,No,One year,Yes,Bank transfer (automatic),35.76,3425.17,No
0663-MMAF,Male,1,No,Yes,25,No,Yes,DSL,Yes,No internet service,Yes,No,No internet service,No internet service,One year,No,Mailed check,105.67,7179.59,Yes
3881-RIDB,Male,0,Yes,No,44,Yes,No,DSL,Yes,No internet service,No internet service,No,Yes,No internet service,Two year,No,Bank transfer (automatic),85.21,2767.12,No
1226-HPQO,Male,0,No,Yes,65,No,Yes,DSL,No,No,Yes,No internet service,No,No,Month-to-month,No,Credit card (automatic),47.3,6525.53,No
3232-RBJV,Female,1,Yes,No,52,Yes,Yes,No,No internet service,Yes,Yes,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),24.69,6616.09,Yes
1542-SMRM,Female,0,No,Yes,17,No,Yes,Fiber optic,Yes,No,Yes,Yes,No internet service,No internet service,One year,Yes,Mailed check,109.37,6618.96,No
6009-SPQM,Male,1,No,No,48,No,No phone service,No,No,No internet service,No internet service,No,No,Yes,Two year,Yes,Credit card (automatic),96.42,751.35,No
9994-BFTZ,Female,1,No,Yes,65,No,No,DSL,No,No,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,108.27,8209.27,No
7952-JGPL,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No,No,One year,Yes,Mailed check,50.25,8595.07,Yes
7768-IDRW,Female,1,Yes,No,40,No,No,DSL,No,Yes,No,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),25.83,7155.5,Yes
2767-GNSU,Male,1,No,Yes,42,No,Yes,DSL,No internet service,No internet service,No internet service,Yes,Yes,No,Two year,No,Electronic check,39.16,1083.09,Yes
0300-TEKZ,Female,0,No,No,1,Yes,No,No,No internet service,No,No,Yes,No internet service,Yes,One year,Yes,Mailed check,113.44,2427.92,Yes
4463-CAOE,Female,0,No,No,70,No,No phone service,DSL,No internet service,Yes,No internet service,Yes,No,No internet service,Month-to-month,Yes,Mailed check,57.31,4437.38,Yes
1380-MYNL,Male,1,No,Yes,72,No,No,Fiber optic,No,No,No,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),30.43,4654.6,Yes
3790-RXOK,Female,1,Yes,Yes,12,Yes,No,Fiber optic,No internet service,No,No,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),47.96,5436.1,Yes
0835-TJIT,Male,0,No,No,3,Yes,Yes,No,Yes,No,No,No,Yes,No internet service,One year,No,Electronic check,48.87,7337.74,No
7250-BJXT,Female,1,No,No,5,Yes,No phone service,No,No,No internet service,Yes,No internet service,Yes,No,Two year,Yes,Electronic check,42.43,7195.03,No
1819-PQAT,Female,1,No,No,15,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),79.41,3229.04,No
4138-BVNL,Male,0,Yes,No,40,No,No phone service,DSL,Yes,No,No internet service,No internet service,No internet service,Yes,One year,Yes,Electronic check,107.37,453.54,No
2535-KBIL,Female,0,No,No,27,Yes,No phone service,No,No internet service,Yes,No internet service,No,Yes,No internet service,One year,Yes,Bank transfer (automatic),44.59,7800.09,No
3992-AATD,Female,1,No,No,7,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,No,No,One year,No,Credit card (automatic),69.79,3862.73,No
5064-XVOJ,Female,0,No,No,41,No,No,DSL,Yes,No,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),87.53,7371.12,No
2191-LVMU,Male,0,No,Yes,18,Yes,No,No,Yes,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Mailed check,87.49,8506.71,Yes
3237-YCGI,Male,1,Yes,No,63,Yes,No phone service,No,No,No internet service,No,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),20.02,3340.48,Yes
9201-RAHX,Male,0,No,Yes,13,No,No phone service,DSL,No,No,No,Yes,No internet service,No internet service,Two year,Yes,Mailed check,60.5,5549.11,No
9226-XCPP,Female,1,Yes,Yes,53,Yes,No,DSL,No,Yes,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),67.32,3798.63,No
6766-CKHB,Male,0,Yes,No,60,No,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,76.11,7249.66,Yes
2330-JOMK,Female,1,No,Yes,51,Yes,No phone service,No,No,No,Yes,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),116.31,3443.01,Yes
7507-KDZB,Female,1,No,No,65,No,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,One year,Yes,Credit card (automatic),74.92,267.71,Yes
8745-KYAL,Male,1,No,Yes,51,No,No,Fiber optic,No,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,No,Credit card (automatic),56.91,6980.63,Yes
1422-KPJC,Male,1,No,No,25,No,No,No,Yes,Yes,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),47.74,4681.87,No
6225-HOOU,Male,0,No,No,46,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),82.42,6350.66,No
1535-IABH,Female,0,Yes,Yes,64,Yes,Yes,No,No internet service,Yes,No internet service,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),73.38,2609.63,No
2770-MEMK,Male,1,Yes,No,36,Yes,No phone service,DSL,No internet service,No,No internet service,No,No,No,Two year,No,Credit card (automatic),76.14,8456.8,Yes
2471-LHOD,Male,1,Yes,Yes,54,Yes,No,No,Yes,No internet service,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),69.86,8178.54,No
0326-LUJL,Male,0,Yes,No,67,No,No phone service,DSL,No,No internet service,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),34.11,2380.13,No
2033-BOGP,Female,1,No,No,17,No,No,Fiber optic,Yes,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Mailed check,74.97,4839.1,No
9614-CELL,Male,0,No,No,36,Yes,Yes,DSL,Yes,No,No,No internet service,Yes,No internet service,Two year,No,Bank transfer (automatic),84.5,2739.49,No
8762-HLWM,Male,1,No,No,34,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,84.35,742.62,Yes
8882-OFLU,Female,0,Yes,Yes,71,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,No,No,Two year,No,Mailed check,114.35,4416.89,Yes
4028-SLYL,Male,0,No,Yes,40,No,No,DSL,Yes,No internet service,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),66.25,6384.68,No
9442-XSUE,Female,0,Yes,No,22,No,No phone service,DSL,No,Yes,No,No internet service,Yes,No,Two year,No,Electronic check,33.22,6300.91,No
7537-EKTQ,Male,1,No,No,65,Yes,No,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),82.37,3223.83,No
3239-FWWH,Male,1,Yes,No,2,No,Yes,Fiber optic,No,Yes,No internet service,No internet service,No,Yes,Two year,No,Bank transfer (automatic),92.05,4066.76,Yes
3277-SSMS,Female,1,No,Yes,46,No,No,DSL,No,No internet service,Yes,Yes,No,No,Two year,Yes,Electronic check,70.46,6195.54,Yes
8347-KUHK,Female,1,No,No,16,Yes,Yes,No,No internet service,No internet service,Yes,No internet service,Yes,Yes,One year,Yes,Electronic check,67.34,3663.89,Yes
0469-MDMW,Male,0,No,Yes,54,No,Yes,DSL,No,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,No,Mailed check,38.75,81.92,No
1316-GZYA,Female,1,Yes,No,27,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),97.99,3497.55,No
